"station","dataset","variable","begin","end","check3","controller3"
"Samoylov","SaPond2006","Ts_33",NA,NA,NA,NA
"Samoylov","SaPond2006","Tair_edg_111",NA,NA,NA,NA
"Samoylov","SaPond2006","Tair_edg_9",NA,NA,NA,NA
"Samoylov","SaPond2006","Tw_fx_edg_0",NA,NA,NA,NA
"Samoylov","SaPond2006","Tw_fx_edg_20",NA,NA,NA,NA
"Samoylov","SaPond2006","Tw_fx_edg_33",NA,NA,NA,NA
"Samoylov","SaPond2006","Tair_cen_108",NA,NA,NA,NA
"Samoylov","SaPond2006","Tair_cen_5",NA,NA,NA,NA
"Samoylov","SaPond2006","Tw_5",NA,NA,NA,NA
"Samoylov","SaPond2006","Tw_10",NA,NA,NA,NA
"Samoylov","SaPond2006","Tw_15",NA,NA,NA,NA
"Samoylov","SaPond2006","Tw_fx_cen_67",NA,NA,NA,NA
"Samoylov","SaPond2006","Tw_fx_cen_86",NA,NA,NA,NA
"Samoylov","SaPond2006","Tw_fx_cen_101",NA,NA,NA,NA
"Samoylov","SaPond2006","PA_uS_1",NA,NA,NA,NA
"Samoylov","SaPond2006","PA_uS_2",NA,NA,NA,NA
"Samoylov","SaPond2006","PA_uS_3",NA,NA,NA,NA
"Samoylov","SaPond2006","PA_uS_4",NA,NA,NA,NA
"Samoylov","SaPond2006","PA_uS_5",NA,NA,NA,NA
"Samoylov","SaPond2006","NetRad_1",NA,NA,NA,NA
"Samoylov","SaPond2006","NetRad_2",NA,NA,NA,NA
"Samoylov","SaPond2006","ATT_dw",NA,NA,NA,NA
"Samoylov","SaPond2006","ATT_up",NA,NA,NA,NA
"Samoylov","SaPond2006","CTT_dw",NA,NA,NA,NA
"Samoylov","SaPond2006","CTT_up",NA,NA,NA,NA
"Samoylov","SaPond2006","WT",NA,NA,NA,NA
"Samoylov","SaPond2014","Tw_40",NA,NA,NA,NA
"Samoylov","SaPond2014","Tw_30",NA,NA,NA,NA
"Samoylov","SaPond2014","Tw_20",NA,NA,NA,NA
"Samoylov","SaPond2014","Tw_10",NA,NA,NA,NA
"Samoylov","SaPond2014","Ts_0",NA,NA,NA,NA
"Samoylov","SaPond2014","Ts_10",NA,NA,NA,NA
"Samoylov","SaPond2014","Ts_20",NA,NA,NA,NA
"Samoylov","SaPond2014","Ts_30",NA,NA,NA,NA
"Samoylov","SaSnow2012","ice_2",NA,NA,NA,NA
"Samoylov","SaSnow2012","ice_3",NA,NA,NA,NA
"Samoylov","SaSnow2012","ice_4",NA,NA,NA,NA
"Samoylov","SaSnow2012","water_2",NA,NA,NA,NA
"Samoylov","SaSnow2012","water_3",NA,NA,NA,NA
"Samoylov","SaSnow2012","water_4",NA,NA,NA,NA
"Samoylov","SaSnow2012","rho_2",NA,NA,NA,NA
"Samoylov","SaSnow2012","rho_3",NA,NA,NA,NA
"Samoylov","SaSnow2012","rho_4",NA,NA,NA,NA
"Samoylov","SaSnow2012","SWE_2",NA,NA,NA,NA
"Samoylov","SaSnow2012","SWE_3",NA,NA,NA,NA
"Samoylov","SaSnow2012","SWE_4",NA,NA,NA,NA
"Samoylov","SaSnow2012","cap_highFq_2",NA,NA,NA,NA
"Samoylov","SaSnow2012","cap_lowFq_2",NA,NA,NA,NA
"Samoylov","SaSnow2012","cap_highFq_3",NA,NA,NA,NA
"Samoylov","SaSnow2012","cap_lowFq_3",NA,NA,NA,NA
